"homeWLP","visitingWLP","homeDiff","visitingDiff","homeLast8WLP","visitingLast8WLP","visitingWLPAsVisitor","homeWLPAsHome","winningTeam"
0,0,0,0,0,0,0,0,"HOME"
0,0,0,0,0,0,0,0,"VISITING"
0,0,0,0,0,0,0,0,"HOME"
0,0,0,0,0,0,0,0,"HOME"
0,0,0,0,0,0,0,0,"HOME"
0,0,0,0,0,0,0,0,"HOME"
0,0,0,0,0,0,0,0,"VISITING"
0,0,0,0,0,0,0,0,"HOME"
0,0,0,0,0,0,0,0,"VISITING"
0,1,0,18,0,1,1,0,"VISITING"
0,0,0,0,0,0,0,0,"HOME"
0,0,0,-18,0,0,0,0,"HOME"
0,0,0,0,0,0,0,0,"HOME"
0,0,0,0,0,0,0,0,"HOME"
0,0,0,0,0,0,0,0,"HOME"
0,0,0,-24,0,0,0,0,"VISITING"
0,0,-1,-11,0,0,0,0,"HOME"
0,0,-4,-10,0,0,0,0,"HOME"
0,0,0,-17,0,0,0,0,"HOME"
0,0,-17,-12,0,0,0,0,"VISITING"
1,0,24,-5,1,0,0,0,"VISITING"
1,1,12,4,1,1,0,1,"VISITING"
0,1,-19,3,0,1,0,0,"VISITING"
1,1,20,1,1,1,0,1,"HOME"
0,1,-18,17,0,1,0,0,"HOME"
0,0,-2,-12,0,0,0,0,"HOME"
0,0.5,-7,2,0,0.5,0,0,"HOME"
1,1,14.5,16,1,1,0,0,"HOME"
0,0,-8,-16,0,0,0,0,"VISITING"
1,1,2,6,1,1,1,1,"VISITING"
0.5,0.5,1,9,0.5,0.5,1,1,"VISITING"
1,0.5,17,8.5,1,0.5,0,1,"VISITING"
0,1,-10,10,0,1,0,0,"HOME"
1,0,18,-15,1,0,0,0,"HOME"
0.5,0.5,-2.5,5,0.5,0.5,0,0,"HOME"
0,1,-14.5,12.5,0,1,0,0,"HOME"
0,1,-12,7,0,1,0,0,"VISITING"
0,1,-12,12,0,1,0,0,"VISITING"
0.5,0.5,-9.5,0,0.5,0.5,0,0,"HOME"
0.5,1,4,20.5,0.5,1,1,1,"VISITING"
1,0.5,5,-4.5,1,0.5,0,1,"VISITING"
1,1,15,10,1,1,1,1,"HOME"
0.6666666666666666,0.5,7.333333333333343,1,0.6666666666666666,0.5,0,1,"HOME"
0.5,0.3333333333333333,-2,-3,0.5,0.3333333333333333,0,0,"HOME"
0.5,0.6666666666666666,-0.5,-1,0.5,0.6666666666666666,1,1,"VISITING"
0,1,-14,14.333333333333329,0,1,1,0,"VISITING"
0.6666666666666666,0.3333333333333333,1.3333333333333286,-0.6666666666666714,0.6666666666666666,0.3333333333333333,0,0.5,"HOME"
1,0.5,4.666666666666671,6,1,0.5,0,1,"HOME"
0.3333333333333333,0.3333333333333333,0,-1,0.3333333333333333,0.3333333333333333,0,0.5,"HOME"
0.6666666666666666,0,6.333333333333329,-12.333333333333343,0.6666666666666666,0,0,0,"HOME"
0.3333333333333333,0.5,1,0.5,0.3333333333333333,0.5,1,0.5,"HOME"
1,1,11.666666666666657,13.5,1,1,1,1,"VISITING"
0.3333333333333333,0.3333333333333333,-2,-0.3333333333333286,0.3333333333333333,0.3333333333333333,0,0.5,"VISITING"
0,0.6666666666666666,-17,-0.6666666666666714,0,0.6666666666666666,0,0,"VISITING"
0.6666666666666666,0.6666666666666666,-5.333333333333343,2,0.6666666666666666,0.6666666666666666,0.5,0.5,"VISITING"
0.6666666666666666,0.25,5,-10,0.6666666666666666,0.25,0,1,"HOME"
0.5,0.5,-2,1.5,0.5,0.5,0,1,"HOME"
